user_id,Gender,Age,fit preference,Height,Weight
75,Male,32,perfect,184,97
76,Male,48,perfect,180,92
77,Male,47,perfect,182,90
78,Male,33,perfect,183,99
79,Male,45,tighter,168,88
80,Male,28,tighter,167,75
81,Male,24,tighter,171,81
82,Male,28,looser,173,89
83,Male,42,tighter,187,107
84,Male,39,looser,177,77
85,Male,45,tighter,167,72
86,Male,36,tighter,180,84
87,Male,48,looser,169,93
88,Male,48,perfect,175,87
89,Male,26,perfect,173,78
90,Male,24,tighter,183,88
91,Male,32,perfect,182,90
92,Male,36,looser,165,81
93,Male,25,perfect,179,81
94,Male,42,looser,164,79
95,Male,35,perfect,170,74
96,Male,49,tighter,165,74
97,Male,26,tighter,182,86
98,Male,40,looser,169,81
99,Male,35,perfect,168,77
100,Male,24,tighter,176,79
101,Male,37,perfect,177,90
102,Male,41,looser,169,75
103,Male,30,tighter,168,69
104,Male,27,perfect,173,80
105,Male,32,perfect,177,82
106,Male,32,tighter,174,80
107,Male,20,perfect,171,71
108,Male,35,tighter,168,74
109,Male,20,looser,175,77
110,Male,38,tighter,171,78
111,Male,42,tighter,176,84
112,Male,22,perfect,173,90
113,Male,49,perfect,181,92
114,Male,44,looser,175,80
115,Male,34,perfect,170,73
116,Male,34,tighter,187,100
117,Male,48,looser,176,91
118,Male,36,looser,173,85
119,Male,37,perfect,172,80
120,Male,41,perfect,182,100
121,Male,32,tighter,161,75
122,Male,21,perfect,174,81
123,Male,49,looser,170,73
124,Male,37,tighter,159,67
125,Male,19,tighter,183,86
126,Male,24,tighter,180,90
127,Male,44,perfect,171,80
128,Male,24,looser,179,88
129,Male,48,looser,176,84
130,Male,35,tighter,168,77
131,Male,31,tighter,171,86
132,Male,46,perfect,167,74
133,Male,44,perfect,181,83
134,Male,44,looser,173,80
135,Male,41,tighter,162,67
136,Male,30,perfect,180,94
137,Male,49,looser,173,78
138,Male,22,perfect,173,80
139,Male,39,tighter,172,75
140,Male,48,tighter,173,82
141,Male,24,looser,174,76
142,Male,44,perfect,168,78
143,Male,21,perfect,168,81
144,Male,39,tighter,171,82
145,Male,44,looser,176,92
146,Male,41,perfect,179,82
147,Male,31,tighter,181,90
148,Male,28,perfect,180,97
149,Male,29,tighter,168,71
150,Male,39,perfect,184,94
151,Male,31,looser,171,80
152,Male,44,perfect,165,66
153,Male,33,looser,179,88
154,Male,23,tighter,177,76
155,Male,20,looser,164,76
156,Male,30,looser,176,89
157,Male,48,tighter,174,80
158,Male,45,tighter,157,66
159,Male,41,tighter,174,79
160,Male,48,perfect,165,83
161,Male,39,looser,163,79
162,Male,28,perfect,174,76
163,Male,47,looser,184,89
164,Male,26,perfect,170,91
165,Male,46,tighter,170,86
166,Male,47,looser,165,80
167,Male,34,tighter,168,73
168,Male,37,tighter,171,71
169,Male,47,looser,166,77
170,Male,45,looser,177,90
171,Male,35,looser,173,76
172,Male,38,tighter,183,92
173,Male,23,tighter,173,76
174,Male,21,perfect,182,90
175,Male,18,perfect,167,80
176,Male,48,tighter,169,75
177,Male,34,tighter,171,79
178,Male,32,looser,173,86
179,Male,18,looser,164,73
180,Male,20,perfect,171,82
181,Male,35,looser,173,81
182,Male,38,perfect,176,94
183,Male,45,perfect,168,74
184,Male,21,perfect,169,88
185,Male,40,perfect,182,90
186,Male,35,perfect,173,76
187,Male,25,looser,177,90
188,Male,38,perfect,182,87
189,Male,36,tighter,167,80
190,Male,41,tighter,170,70
191,Male,33,perfect,194,105
192,Male,35,perfect,184,103
193,Male,49,tighter,177,91
194,Male,34,looser,184,98
195,Male,45,perfect,184,100
196,Male,48,perfect,183,93
197,Male,38,perfect,170,81
198,Male,28,tighter,192,104
199,Male,22,perfect,168,76
200,Male,40,looser,180,84
201,Male,47,looser,180,88
202,Male,34,tighter,183,96
203,Male,45,perfect,190,100
204,Male,48,perfect,163,71
205,Male,46,tighter,164,74
206,Male,49,perfect,161,72
207,Male,43,tighter,172,79
208,Male,20,perfect,167,78
209,Male,36,perfect,180,87
210,Male,27,perfect,171,84
211,Male,39,perfect,174,78
212,Male,31,looser,178,87
213,Male,24,looser,183,93
214,Male,18,perfect,179,92
215,Male,35,perfect,167,77
216,Male,38,perfect,189,104
217,Male,41,looser,171,79
218,Male,42,perfect,170,79
219,Male,40,looser,182,95
220,Male,38,looser,164,75
221,Male,31,looser,173,88
222,Male,45,perfect,169,74
223,Male,21,perfect,169,79
224,Male,45,perfect,172,78
225,Male,40,tighter,175,87
226,Male,41,tighter,178,92
227,Male,33,looser,164,71
228,Male,49,looser,172,76
229,Male,29,looser,161,61
230,Male,31,looser,182,98
231,Male,21,perfect,169,70
232,Male,20,looser,182,90
233,Male,18,perfect,193,106
234,Male,39,tighter,181,87
235,Male,49,looser,171,79
236,Male,34,perfect,179,89
237,Male,47,tighter,177,83
238,Male,42,tighter,172,79
239,Male,34,perfect,188,97
240,Male,46,looser,175,84
241,Male,34,tighter,169,77
242,Male,27,perfect,169,77
243,Male,36,perfect,170,75
244,Male,25,tighter,175,73
245,Male,48,perfect,179,85
246,Male,31,tighter,166,70
247,Male,49,tighter,165,77
248,Male,38,looser,171,76
249,Male,28,tighter,187,104
250,Male,22,looser,181,93
251,Male,21,tighter,172,77
252,Male,30,perfect,173,89
253,Male,41,perfect,167,75
254,Male,36,tighter,181,89
255,Male,29,perfect,175,88
256,Male,20,perfect,174,81
257,Male,31,looser,180,85
258,Male,25,perfect,161,71
259,Male,35,perfect,180,94
260,Male,18,looser,167,84
261,Male,30,perfect,165,70
262,Male,39,looser,172,81
263,Male,40,tighter,180,92
264,Male,39,perfect,188,104
265,Male,20,perfect,176,83
266,Male,42,tighter,164,81
267,Male,48,looser,173,89
268,Male,49,looser,180,91
269,Male,34,tighter,156,72
270,Male,19,tighter,173,85
271,Male,23,looser,183,90
272,Male,32,looser,184,99
273,Male,43,looser,180,96
274,Male,40,tighter,183,90
275,Male,19,perfect,171,84
276,Male,32,looser,183,88
277,Male,38,tighter,159,68
278,Male,47,perfect,168,75
279,Male,38,perfect,176,89
280,Male,21,tighter,175,80
281,Male,47,tighter,179,87
282,Male,25,looser,174,88
283,Male,23,perfect,167,83
284,Male,30,looser,168,69
285,Male,25,perfect,169,72
286,Male,20,perfect,172,85
287,Male,23,tighter,179,77
288,Male,22,tighter,175,88
289,Male,27,looser,179,97
290,Male,43,looser,165,75
291,Male,32,perfect,189,107
292,Male,22,looser,180,82
293,Male,18,looser,176,89
294,Male,46,tighter,177,86
295,Male,33,tighter,163,76
296,Male,37,perfect,172,87
297,Male,29,tighter,171,82
298,Male,33,looser,189,94
299,Male,40,tighter,181,89
300,Male,49,tighter,170,77
301,Male,45,tighter,177,88
302,Male,41,perfect,173,85
303,Male,44,tighter,172,83
304,Male,30,tighter,173,80
305,Male,40,tighter,165,71
306,Male,44,perfect,178,89
307,Male,44,perfect,180,97
308,Male,47,tighter,173,84
309,Male,45,perfect,166,79
310,Male,41,tighter,171,83
311,Male,47,looser,188,100
312,Male,25,tighter,180,93
313,Male,26,looser,170,76
314,Male,44,perfect,172,78
315,Male,26,looser,171,77
316,Male,41,looser,174,81
317,Male,25,looser,182,91
318,Male,38,perfect,176,89
319,Male,23,looser,187,100
320,Male,30,perfect,176,98
321,Male,39,looser,179,95
322,Male,27,perfect,182,90
323,Male,41,looser,176,93
324,Male,38,looser,165,72
325,Male,46,perfect,180,93
326,Male,33,perfect,174,81
327,Male,25,looser,174,79
328,Male,38,looser,176,87
329,Male,20,tighter,167,73
330,Male,32,perfect,174,77
331,Male,33,tighter,187,97
332,Male,18,looser,180,94
333,Male,28,looser,169,83
334,Male,43,looser,182,84
335,Male,29,looser,177,84
336,Male,43,tighter,169,80
337,Male,37,tighter,177,95
338,Male,48,looser,178,88
339,Male,23,perfect,175,83
340,Male,46,tighter,164,74
341,Male,27,tighter,180,84
342,Male,27,tighter,163,72
343,Male,27,perfect,177,87
344,Male,38,perfect,181,85
345,Male,18,looser,173,93
346,Male,46,perfect,179,89
347,Male,40,perfect,181,94
348,Male,29,looser,176,81
349,Male,43,looser,182,88
350,Male,40,perfect,175,85
351,Male,25,tighter,168,74
352,Male,26,perfect,170,82
353,Male,34,tighter,180,85
354,Male,42,tighter,175,85
355,Male,27,perfect,171,76
356,Male,35,perfect,185,97
357,Male,34,perfect,179,79
358,Male,32,perfect,175,88
359,Male,43,looser,169,75
360,Male,18,tighter,175,80
361,Male,45,looser,185,99
362,Male,34,tighter,171,73
363,Male,34,tighter,164,70
364,Male,21,tighter,172,82
365,Male,31,tighter,171,76
366,Male,35,tighter,168,75
367,Male,41,perfect,185,94
368,Male,37,perfect,176,87
369,Male,46,tighter,180,87
370,Male,24,tighter,177,98
371,Male,46,perfect,182,92
372,Male,22,perfect,171,80
373,Male,22,tighter,173,81
374,Male,34,perfect,174,91
375,Male,37,looser,175,74
376,Male,18,tighter,175,89
377,Male,37,looser,170,77
378,Male,18,looser,175,82
379,Male,36,tighter,167,62
380,Male,29,tighter,164,72
381,Male,41,tighter,168,73
382,Male,32,perfect,170,87
383,Male,20,looser,170,85
384,Male,36,tighter,180,82
385,Male,49,perfect,173,85
386,Male,35,tighter,171,84
387,Male,27,perfect,192,101
388,Male,22,looser,179,89
389,Male,46,looser,174,85
390,Male,37,perfect,173,79
391,Male,48,perfect,165,79
392,Male,27,tighter,166,78
393,Male,41,tighter,176,94
394,Male,31,looser,166,76
395,Male,21,looser,172,78
396,Male,44,looser,175,83
397,Male,35,tighter,172,87
398,Male,38,tighter,157,67
399,Male,29,perfect,170,86
400,Male,20,tighter,171,80
401,Male,33,looser,177,91
402,Male,46,looser,165,73
403,Male,30,looser,182,97
404,Male,31,tighter,168,82
405,Male,24,tighter,167,74
406,Male,26,looser,185,92
407,Male,22,looser,180,85
408,Male,48,looser,181,98
409,Male,49,tighter,180,91
410,Male,37,perfect,157,62
411,Male,45,perfect,174,88
412,Male,35,perfect,171,80
413,Male,34,perfect,171,73
414,Male,31,perfect,167,75
415,Male,33,tighter,174,85
416,Male,33,looser,176,87
417,Male,39,perfect,169,85
418,Male,38,tighter,177,91
419,Male,28,tighter,174,88
420,Male,47,perfect,181,94
421,Male,18,perfect,177,85
422,Male,39,perfect,180,89
423,Male,48,tighter,172,84
424,Male,22,tighter,179,84
425,Male,31,tighter,181,79
426,Male,43,looser,185,94
427,Male,40,perfect,154,61
428,Male,33,perfect,175,85
429,Male,20,tighter,176,86
430,Male,44,tighter,172,83
431,Male,42,looser,193,104
432,Male,21,perfect,183,90
433,Male,37,perfect,175,84
434,Male,38,looser,165,78
435,Male,48,looser,167,82
436,Male,32,looser,178,84
437,Male,44,looser,185,96
438,Male,36,perfect,174,78
439,Male,33,tighter,174,76
440,Male,28,perfect,161,65
441,Male,44,looser,170,79
442,Male,22,perfect,179,88
443,Male,42,tighter,186,100
444,Male,30,tighter,167,74
445,Male,33,looser,172,76
446,Male,34,perfect,181,97
447,Male,47,perfect,170,78
448,Male,40,perfect,186,98
449,Male,32,tighter,161,72
450,Male,45,perfect,175,87
451,Male,44,looser,176,79
452,Male,20,perfect,179,92
453,Male,41,perfect,175,79
454,Male,41,perfect,173,86
455,Male,45,looser,167,75
456,Male,21,tighter,176,84
457,Male,26,looser,175,84
458,Male,41,perfect,186,93
459,Male,43,looser,167,72
460,Male,39,tighter,186,96
461,Male,27,perfect,176,92
462,Male,49,tighter,169,82
463,Male,45,looser,185,94
464,Male,43,looser,173,93
465,Male,36,looser,182,94
466,Male,46,tighter,180,91
467,Male,39,tighter,170,87
468,Male,40,looser,173,85
469,Male,47,looser,181,89
470,Male,32,looser,165,75
471,Male,42,tighter,169,80
472,Male,44,perfect,174,83
473,Male,29,tighter,175,87
474,Male,30,looser,181,102
475,Male,20,perfect,175,86
476,Male,22,looser,169,79
477,Male,45,perfect,174,79
478,Male,19,perfect,171,79
479,Male,37,looser,181,90
480,Male,49,tighter,174,79
481,Male,35,tighter,177,83
482,Male,36,tighter,177,84
483,Male,44,looser,183,85
484,Male,44,tighter,166,74
485,Male,47,tighter,168,76
486,Male,49,perfect,177,95
487,Male,43,perfect,180,88
488,Male,31,looser,177,91
489,Male,31,looser,181,90
490,Male,32,tighter,164,71
491,Male,44,perfect,174,78
492,Male,32,tighter,173,82
493,Male,48,tighter,175,84
494,Male,48,perfect,176,79
495,Male,25,perfect,176,87
496,Male,33,tighter,185,87
497,Male,33,tighter,157,65
498,Male,40,tighter,174,86
499,Male,25,tighter,180,94
500,Male,19,tighter,183,90
501,Male,23,perfect,183,93
502,Male,21,looser,171,82
503,Male,46,perfect,172,74
504,Male,25,tighter,179,87
505,Male,32,tighter,166,80
506,Male,29,looser,178,92
507,Male,45,perfect,182,89
508,Male,48,looser,173,86
509,Male,38,looser,173,78
510,Male,30,looser,167,76
511,Male,29,perfect,181,92
512,Male,38,perfect,186,88
513,Male,25,looser,180,93
514,Male,36,tighter,179,91
515,Male,25,tighter,182,84
516,Male,49,tighter,160,73
517,Male,48,tighter,172,82
518,Male,25,looser,167,70
519,Male,31,looser,173,80
520,Male,21,perfect,176,84
521,Male,24,perfect,174,77
522,Male,35,perfect,178,90
523,Male,30,perfect,175,87
524,Male,34,perfect,163,69
525,Male,47,tighter,178,86
526,Male,30,perfect,174,71
527,Male,24,tighter,176,79
528,Male,40,looser,175,77
529,Male,25,tighter,170,81
530,Male,27,tighter,167,77
531,Male,26,looser,174,80
532,Male,45,looser,175,84
533,Male,26,tighter,176,81
534,Male,25,looser,184,96
535,Male,42,tighter,190,93
536,Male,46,tighter,180,85
537,Male,47,tighter,188,97
538,Male,33,tighter,163,70
539,Male,49,perfect,181,92
540,Male,27,looser,170,80
541,Male,36,perfect,188,102
542,Male,38,tighter,162,78
543,Male,27,looser,174,73
544,Male,35,tighter,183,95
545,Male,19,perfect,173,92
546,Male,45,tighter,165,75
547,Male,31,tighter,175,87
548,Male,47,looser,182,94
549,Male,49,looser,171,82
550,Male,47,tighter,176,85
551,Male,23,perfect,161,72
552,Male,40,looser,154,58
553,Male,43,looser,179,88
554,Male,21,tighter,171,84
555,Male,39,perfect,189,102
556,Male,27,perfect,178,88
557,Male,40,tighter,182,94
558,Male,44,perfect,188,94
559,Male,32,perfect,179,99
560,Male,40,perfect,164,76
561,Male,26,looser,173,83
562,Male,39,tighter,181,86
563,Male,43,looser,170,79
564,Male,23,looser,179,89
565,Male,38,perfect,165,75
566,Male,24,tighter,156,55
567,Male,36,perfect,158,72
568,Male,38,tighter,172,88
569,Male,30,perfect,176,72
570,Male,36,tighter,184,90
571,Male,31,tighter,179,87
572,Male,32,perfect,169,73
573,Male,22,looser,181,79
574,Male,36,tighter,182,94
575,Male,25,looser,185,92
576,Male,42,looser,174,94
577,Male,35,perfect,167,76
578,Male,38,tighter,187,100
579,Male,18,tighter,175,86
580,Male,40,tighter,176,77
581,Male,22,tighter,180,86
582,Male,28,looser,161,70
583,Male,46,looser,177,82
584,Male,24,perfect,165,68
585,Male,40,perfect,177,87
586,Male,29,perfect,177,83
587,Male,43,perfect,180,87
588,Male,46,looser,179,78
589,Male,28,looser,166,74
590,Male,26,looser,170,73
591,Male,35,perfect,167,78
592,Male,18,perfect,187,95
593,Male,48,tighter,172,77
594,Male,29,perfect,166,77
595,Male,23,looser,180,88
596,Male,34,looser,166,78
597,Male,30,looser,166,78
598,Male,21,perfect,157,63
599,Male,37,looser,187,97
600,Male,26,looser,183,97
601,Male,21,perfect,178,82
602,Male,37,tighter,170,75
603,Male,37,tighter,167,68
604,Male,20,tighter,170,83
605,Male,46,tighter,178,91
606,Male,47,tighter,190,100
607,Male,18,perfect,163,66
608,Male,49,tighter,177,93
609,Male,36,looser,182,92
610,Male,43,looser,185,94
611,Male,47,perfect,186,89
612,Male,40,perfect,168,74
613,Male,28,looser,168,81
614,Male,25,tighter,175,91
615,Male,43,tighter,173,87
616,Male,38,perfect,178,82
617,Male,46,tighter,177,84
618,Male,30,tighter,166,70
619,Male,38,tighter,175,88
620,Male,34,tighter,187,93
621,Male,23,tighter,167,71
622,Male,25,perfect,173,83
623,Male,20,perfect,178,89
624,Male,24,looser,183,91
625,Male,44,tighter,182,89
626,Male,32,tighter,166,70
627,Male,26,looser,162,75
628,Male,44,tighter,178,90
629,Male,29,perfect,167,78
630,Male,25,looser,177,88
631,Male,36,perfect,173,88
632,Male,39,tighter,172,74
633,Male,29,tighter,190,104
634,Male,29,looser,186,86
635,Male,38,tighter,176,86
636,Male,26,perfect,163,70
637,Male,29,looser,171,73
638,Male,27,tighter,185,92
639,Male,37,tighter,169,77
640,Male,20,tighter,187,94
641,Male,38,tighter,179,94
642,Male,23,looser,181,92
643,Male,19,tighter,167,79
644,Male,19,tighter,178,95
645,Male,38,perfect,156,67
646,Male,30,tighter,190,99
647,Male,39,tighter,181,86
648,Male,30,looser,170,73
649,Male,40,looser,180,89
650,Male,38,looser,190,98
651,Male,21,perfect,185,100
652,Male,19,tighter,179,98
653,Male,43,looser,170,77
654,Male,32,looser,170,66
655,Male,25,tighter,176,76
656,Male,20,looser,165,72
657,Male,39,looser,173,83
658,Male,29,perfect,174,79
659,Male,26,looser,172,84
660,Male,18,perfect,175,71
661,Male,26,tighter,173,84
662,Male,44,looser,166,67
663,Male,44,tighter,176,77
664,Male,26,tighter,167,74
665,Male,38,tighter,180,83
666,Male,36,tighter,167,84
667,Male,45,tighter,164,73
668,Male,24,looser,173,88
669,Male,43,looser,176,85
670,Male,34,tighter,168,85
671,Male,23,looser,176,79
672,Male,27,tighter,174,82
673,Male,38,tighter,187,99
674,Male,23,tighter,194,98
675,Male,21,tighter,180,89
676,Male,27,looser,163,74
677,Male,38,tighter,168,73
678,Male,31,looser,175,84
679,Male,39,perfect,161,67
680,Male,29,perfect,177,91
681,Male,39,looser,174,81
682,Male,40,perfect,181,92
683,Male,27,looser,176,91
684,Male,46,looser,187,104
685,Male,40,perfect,173,87
686,Male,27,tighter,184,90
687,Male,31,tighter,179,87
688,Male,37,looser,178,84
689,Male,33,perfect,175,87
690,Male,48,perfect,175,88
691,Male,34,tighter,170,70
692,Male,18,tighter,181,93
693,Male,23,perfect,174,77
694,Male,29,tighter,181,97
695,Male,31,perfect,178,85
696,Male,39,tighter,179,92
697,Male,33,looser,174,90
698,Male,22,perfect,181,92
699,Male,30,looser,165,71
700,Male,20,perfect,179,93
701,Male,33,looser,177,84
702,Male,22,looser,162,75
703,Male,18,perfect,178,88
704,Male,46,looser,178,92
705,Male,19,tighter,171,74
706,Male,28,tighter,170,75
707,Male,30,tighter,173,76
708,Male,23,tighter,176,82
709,Male,36,tighter,158,75
710,Male,24,looser,176,82
711,Male,30,perfect,169,77
712,Male,35,perfect,191,98
713,Male,26,looser,178,85
714,Male,22,perfect,180,88
715,Male,43,perfect,177,81
716,Male,28,looser,168,78
717,Male,27,perfect,179,93
718,Male,20,looser,161,73
719,Male,37,tighter,179,86
720,Male,32,looser,171,86
721,Male,41,perfect,181,96
722,Male,29,looser,174,84
723,Male,33,tighter,181,91
724,Male,22,tighter,179,85
725,Male,46,looser,181,88
726,Male,24,perfect,179,87
727,Male,19,looser,188,102
728,Male,49,looser,161,83
729,Male,26,tighter,173,77
730,Male,48,tighter,171,78
731,Male,48,looser,179,88
732,Male,42,perfect,170,87
733,Male,20,perfect,172,83
734,Male,33,perfect,174,80
735,Male,33,tighter,174,86
736,Male,41,perfect,179,88
737,Male,31,tighter,170,73
738,Male,45,looser,165,75
739,Male,34,perfect,177,83
740,Male,32,tighter,173,87
741,Male,38,looser,180,92
742,Male,45,looser,193,105
743,Male,34,tighter,172,79
744,Male,22,looser,177,89
745,Male,33,perfect,176,90
746,Male,45,looser,181,96
747,Male,30,tighter,180,90
748,Male,22,looser,166,64
749,Male,19,perfect,180,91
750,Male,49,looser,172,82
751,Male,42,perfect,179,89
752,Male,47,tighter,175,79
753,Male,24,perfect,181,87
754,Male,44,perfect,177,91
755,Male,38,tighter,168,75
756,Male,26,looser,178,93
757,Male,46,looser,159,68
758,Male,30,perfect,169,65
759,Male,29,tighter,165,70
760,Male,37,looser,181,94
761,Male,33,tighter,176,82
762,Male,20,tighter,177,90
763,Male,29,tighter,166,73
764,Male,20,perfect,163,69
765,Male,20,perfect,174,85
766,Male,24,tighter,176,79
767,Male,36,looser,171,77
768,Male,29,looser,173,83
769,Male,25,tighter,176,91
770,Male,26,looser,166,81
771,Male,31,perfect,185,90
772,Male,45,looser,169,80
773,Male,32,perfect,175,91
774,Male,29,tighter,167,83
775,Male,47,looser,170,83
776,Male,21,looser,166,79
777,Male,40,perfect,185,94
778,Male,43,tighter,173,80
779,Male,32,looser,168,74
780,Male,47,looser,183,89
781,Male,38,tighter,172,83
782,Male,37,tighter,179,90
783,Male,31,tighter,180,89
784,Male,39,perfect,176,91
785,Male,42,tighter,178,90
786,Male,47,tighter,176,88
787,Male,43,tighter,160,70
788,Male,20,perfect,172,82
789,Male,23,looser,185,91
790,Male,30,looser,185,87
791,Male,42,looser,180,88
792,Male,42,tighter,183,96
793,Male,49,tighter,183,82
794,Male,23,perfect,180,87
795,Male,30,looser,168,76
796,Male,49,perfect,183,92
797,Male,46,looser,172,74
798,Male,31,perfect,181,89
799,Male,47,perfect,166,76
800,Male,19,looser,170,72
801,Male,19,perfect,183,92
802,Male,45,perfect,160,66
803,Male,33,tighter,176,81
804,Male,40,tighter,178,98
805,Male,45,tighter,172,85
806,Male,24,looser,177,79
807,Male,40,tighter,157,58
808,Male,36,perfect,167,71
809,Male,30,tighter,179,86
810,Male,20,looser,176,81
811,Male,23,perfect,171,84
812,Male,29,tighter,172,86
813,Male,22,tighter,169,73
814,Male,35,tighter,176,88
815,Male,30,tighter,164,82
816,Male,39,looser,187,90
817,Male,18,tighter,172,82
818,Male,38,perfect,169,74
819,Male,40,perfect,175,79
820,Male,22,looser,194,102
821,Male,18,perfect,175,81
822,Male,49,tighter,186,101
823,Male,45,perfect,176,85
824,Male,35,perfect,183,91
825,Male,39,tighter,179,80
826,Male,42,tighter,170,75
827,Male,28,tighter,168,77
828,Male,23,tighter,174,80
829,Male,35,tighter,169,72
830,Male,49,perfect,177,80
831,Male,40,tighter,168,69
832,Male,32,looser,184,93
833,Male,32,perfect,163,76
834,Male,19,tighter,177,81
835,Male,41,looser,179,91
836,Male,31,tighter,184,83
837,Male,30,perfect,173,89
838,Male,39,looser,185,92
839,Male,20,tighter,179,88
840,Male,49,perfect,177,85
841,Male,36,perfect,175,88
842,Male,26,perfect,186,100
843,Male,40,perfect,173,81
844,Male,45,perfect,173,80
845,Male,25,perfect,181,91
846,Male,20,tighter,186,99
847,Male,20,perfect,177,89
848,Male,45,tighter,178,91
849,Male,46,perfect,168,67
850,Male,34,perfect,194,102
851,Male,23,tighter,180,84
852,Male,28,tighter,169,76
853,Male,46,perfect,167,82
854,Male,26,perfect,179,84
855,Male,36,perfect,165,71
856,Male,44,looser,169,79
857,Male,27,perfect,187,99
858,Male,49,tighter,177,88
859,Male,18,looser,176,85
860,Male,34,perfect,169,69
861,Male,34,looser,175,80
862,Male,22,tighter,174,77
863,Male,36,tighter,178,85
864,Male,27,looser,182,93
865,Male,41,tighter,180,86
866,Male,22,tighter,178,88
867,Male,20,tighter,172,85
868,Male,36,perfect,174,93
869,Male,38,looser,175,84
870,Male,49,looser,171,84
871,Male,46,looser,181,98
872,Male,37,tighter,181,90
873,Male,18,looser,180,92
874,Male,43,looser,164,64
875,Male,34,tighter,170,81
876,Male,25,perfect,183,90
877,Male,47,perfect,178,86
878,Male,27,perfect,163,71
879,Male,24,tighter,189,96
880,Male,31,tighter,165,73
881,Male,22,tighter,184,95
882,Male,20,perfect,166,69
883,Male,34,looser,174,87
884,Male,29,tighter,185,94
885,Male,42,perfect,177,89
886,Male,49,looser,177,80
887,Male,33,perfect,182,86
888,Male,38,tighter,169,80
889,Male,33,looser,172,85
890,Male,45,looser,175,88
891,Male,44,looser,175,81
892,Male,47,looser,175,83
893,Male,35,perfect,168,75
894,Male,24,looser,168,80
895,Male,49,perfect,175,81
896,Male,43,looser,166,72
897,Male,32,perfect,159,67
898,Male,31,perfect,169,72
899,Male,28,looser,170,84
900,Male,39,perfect,177,79
901,Male,36,looser,188,107
902,Male,18,perfect,180,94
903,Male,46,perfect,179,87
904,Male,34,perfect,172,73
905,Male,46,tighter,170,82
906,Male,49,tighter,169,78
907,Male,36,looser,170,81
908,Male,34,perfect,174,77
909,Male,18,tighter,182,93
910,Male,32,looser,179,87
911,Male,41,perfect,175,84
912,Male,41,looser,169,72
913,Male,25,perfect,195,102
914,Male,47,looser,173,79
915,Male,42,tighter,169,84
916,Male,43,looser,188,98
917,Male,38,looser,177,83
918,Male,27,perfect,179,89
919,Male,20,tighter,168,74
920,Male,32,perfect,182,87
921,Male,47,looser,167,76
922,Male,42,perfect,184,97
923,Male,45,looser,177,84
924,Male,48,looser,175,80
925,Male,29,tighter,162,68
926,Male,30,tighter,164,65
927,Male,20,tighter,165,66
928,Male,44,perfect,174,82
929,Male,24,tighter,177,80
930,Male,21,perfect,159,68
931,Male,42,looser,169,78
932,Male,49,perfect,170,81
933,Male,27,perfect,183,90
934,Male,28,perfect,176,76
935,Male,42,looser,165,75
936,Male,47,perfect,188,87
937,Male,36,tighter,155,68
938,Male,22,perfect,173,92
939,Male,32,tighter,162,74
940,Male,49,looser,174,81
941,Male,26,looser,164,83
942,Male,21,tighter,176,94
943,Male,26,looser,180,88
944,Male,48,looser,159,66
945,Male,41,looser,179,90
946,Male,43,looser,176,89
947,Male,36,perfect,170,84
948,Male,48,tighter,171,80
949,Male,40,perfect,176,78
