user_id,product_id,fit_preferences,weight,height,size_1,presentage_1,size_2,presentage_2
1207,9,perfect,71,164,M,91%,S,49%
1208,3,tighter,100,188,XL,85%,L,56%
1209,7,perfect,85,181,L,91%,XL,47%
1210,0,looser,71,166,M,87%,L,47%
1211,1,looser,76,172,L,88%,M,49%
1212,0,perfect,70,164,M,87%,S,48%
1213,5,perfect,86,176,L,93%,XL,41%
1214,3,looser,103,183,XXL,90%,XL,49%
1216,0,perfect,80,174,L,74%,M,60%
1217,8,looser,89,176,XL,91%,L,40%
1218,8,tighter,95,184,L,81%,XL,49%
1219,7,perfect,91,176,L,74%,XL,64%
1220,2,looser,83,176,L,73%,XL,68%
1221,0,tighter,67,167,S,83%,M,52%
1222,6,perfect,96,182,XL,89%,L,50%
1223,2,tighter,72,168,M,72%,S,69%
1224,4,looser,81,168,L,93%,XL,39%
1225,7,perfect,88,179,L,83%,XL,55%
1226,8,looser,83,172,L,77%,XL,53%
1227,2,looser,74,167,M,71%,L,69%
1228,8,perfect,90,175,L,77%,XL,53%
1229,9,looser,90,185,XL,93%,XXL,45%
1230,6,tighter,85,172,M,86%,L,54%
1231,9,tighter,86,177,M,71%,L,69%
1232,7,perfect,95,181,XL,86%,L,53%
1233,8,tighter,94,181,L,89%,XL,42%
1234,7,looser,81,175,L,85%,XL,53%
1235,6,tighter,76,172,M,93%,S,46%
1236,1,tighter,103,182,XL,80%,L,58%
1237,4,perfect,89,181,L,70%,XL,60%
1238,0,perfect,90,183,XL,73%,L,62%
1239,2,perfect,60,153,S,92%,M,42%
1240,1,tighter,85,178,M,73%,L,65%
1241,5,looser,86,182,XL,85%,L,49%
1242,3,perfect,83,179,L,94%,M,45%
1243,2,perfect,93,185,XL,86%,L,55%
1244,1,looser,78,157,L,69%,M,67%
1245,4,tighter,79,175,M,95%,L,37%
1246,2,tighter,94,181,L,92%,XL,47%
1247,2,perfect,92,179,XL,75%,L,65%
1248,1,tighter,69,165,S,82%,M,56%
1249,1,looser,88,172,XL,80%,L,58%
1250,8,perfect,79,174,L,66%,M,64%
1251,5,tighter,89,179,L,85%,M,48%
1252,1,looser,67,164,M,96%,S,41%
1253,6,perfect,80,180,L,88%,M,52%
1255,6,looser,64,166,M,92%,S,47%
1256,3,tighter,73,165,S,71%,M,69%
1257,6,looser,83,177,L,71%,XL,69%
1258,8,tighter,75,169,M,82%,S,48%
1259,0,tighter,74,170,M,83%,S,52%
1260,3,perfect,74,174,M,91%,L,49%
1261,4,looser,83,172,L,78%,XL,52%
1262,4,looser,74,168,L,67%,M,63%
1263,0,looser,87,178,XL,89%,L,45%
1264,3,perfect,87,174,L,93%,XL,46%
1265,4,looser,91,179,XL,93%,L,38%
1266,9,looser,99,190,XXL,87%,XL,52%
1267,5,looser,78,168,L,89%,M,44%
1268,4,perfect,77,167,M,89%,L,42%
1269,3,looser,76,169,L,84%,M,57%
1270,8,tighter,92,183,L,91%,XL,40%
1271,5,tighter,85,173,M,82%,L,51%
1272,9,perfect,80,176,L,81%,M,60%
1273,8,looser,85,178,XL,78%,L,52%
1274,4,looser,89,183,XL,92%,L,39%
1275,6,perfect,83,175,L,91%,M,49%
1276,6,perfect,74,170,M,94%,L,44%
1277,3,perfect,79,178,L,80%,M,61%
1278,5,looser,85,183,XL,83%,L,50%
1279,8,tighter,92,179,L,91%,M,40%
1280,0,perfect,89,171,L,90%,XL,44%
1281,5,tighter,101,186,XL,78%,L,55%
1282,4,tighter,78,170,M,94%,S,38%
1283,3,looser,96,188,XXL,77%,XL,64%
1284,0,looser,78,175,L,94%,XL,41%
1286,1,looser,83,172,L,81%,XL,57%
1287,9,looser,80,172,L,92%,XL,47%
1288,4,looser,85,176,XL,72%,L,58%
1289,7,perfect,82,173,L,84%,M,54%
1290,4,tighter,81,174,M,92%,L,39%
1291,9,tighter,87,177,L,74%,M,66%
1292,1,tighter,78,166,M,91%,S,47%
1293,9,looser,81,168,L,94%,XL,45%
1294,8,perfect,73,159,M,87%,S,43%
1295,1,perfect,79,170,M,77%,L,61%
1296,5,perfect,81,177,L,85%,M,48%
1297,2,perfect,80,171,L,71%,M,69%
1298,8,perfect,85,176,L,93%,XL,39%
1299,8,perfect,79,177,L,73%,M,57%
1300,0,perfect,71,171,M,96%,S,39%
1301,7,tighter,84,173,M,87%,L,51%
1302,5,tighter,93,179,L,95%,M,39%
1303,1,looser,86,180,XL,83%,L,55%
1304,9,perfect,99,180,XL,96%,XXL,42%
1305,6,perfect,83,173,L,88%,M,52%
1307,0,tighter,63,164,S,93%,M,42%
1308,9,perfect,81,174,L,81%,M,59%
1309,5,perfect,79,173,M,68%,L,65%
1310,8,perfect,75,166,M,93%,L,38%
1311,4,looser,68,172,M,89%,L,42%
1312,6,looser,73,171,L,72%,M,68%
1313,9,looser,73,167,M,77%,L,63%
1314,6,looser,85,171,L,72%,XL,67%
1315,9,looser,86,168,L,73%,XL,67%
1316,0,looser,78,172,L,93%,M,41%
1317,1,tighter,82,175,M,90%,L,47%
1318,6,perfect,102,199,XL,86%,L,34%
1319,4,looser,89,179,XL,89%,L,42%
1320,8,looser,87,178,XL,87%,L,43%
1321,1,tighter,79,172,M,97%,S,40%
1322,3,tighter,83,179,M,81%,L,60%
1323,5,looser,86,172,XL,71%,L,62%
1324,1,looser,93,189,XL,95%,L,38%
1325,2,tighter,80,173,M,95%,L,43%
1326,6,perfect,101,192,XL,95%,L,39%
1327,7,perfect,83,180,L,95%,M,42%
1328,3,looser,91,179,XL,96%,XXL,43%
1329,7,tighter,105,193,XL,93%,L,44%
1330,2,perfect,86,176,L,93%,XL,46%
1331,9,tighter,87,176,L,72%,M,68%
1332,6,looser,88,176,XL,85%,L,55%
1334,5,looser,83,172,L,80%,XL,53%
1335,9,perfect,80,173,L,74%,M,66%
1336,7,tighter,71,164,S,77%,M,61%
1337,0,looser,82,173,L,83%,XL,52%
1338,8,perfect,93,184,XL,86%,L,44%
1339,7,tighter,72,167,S,70%,M,68%
1340,1,looser,67,155,M,88%,S,50%
1341,3,tighter,71,173,M,78%,S,63%
1342,6,tighter,100,191,XL,84%,L,56%
1343,1,looser,82,168,L,91%,XL,44%
1344,9,looser,80,168,L,95%,M,44%
1345,4,perfect,80,172,L,68%,M,62%
1346,7,perfect,94,182,XL,84%,L,54%
1347,2,looser,90,175,XL,90%,L,50%
1348,3,perfect,83,173,L,88%,M,53%
1349,5,perfect,96,187,XL,92%,L,42%
1350,2,looser,87,174,XL,81%,L,60%
1351,9,tighter,93,186,L,89%,XL,51%
1352,1,perfect,76,169,M,91%,L,47%
1353,0,perfect,87,176,L,90%,XL,44%
1354,7,looser,82,170,L,89%,XL,49%
1355,9,perfect,90,183,XL,75%,L,65%
1356,0,looser,78,172,L,93%,M,41%
1357,3,looser,69,162,M,96%,L,43%
1358,5,tighter,77,167,M,89%,S,45%
1359,7,tighter,93,187,L,87%,XL,51%
1360,8,tighter,72,164,S,73%,M,57%
1361,2,looser,85,170,L,74%,XL,66%
1362,8,perfect,87,180,L,81%,XL,48%
1363,1,looser,75,171,L,82%,M,56%
1364,6,looser,78,170,L,93%,M,46%
1365,2,perfect,79,164,M,88%,L,52%
1366,3,looser,75,170,L,81%,M,60%
1367,3,perfect,87,173,L,94%,XL,45%
1368,9,perfect,102,187,XL,81%,XXL,59%
1369,6,looser,79,168,L,93%,M,46%
1370,5,looser,79,171,L,95%,M,39%
1371,9,perfect,80,167,M,79%,L,61%
1372,0,perfect,95,182,XL,92%,L,43%
1373,4,tighter,70,165,S,76%,M,54%
1374,7,perfect,86,172,L,94%,M,43%
1375,9,perfect,96,190,XL,95%,XXL,44%
1376,9,tighter,73,161,S,76%,M,64%
1377,5,looser,70,165,M,92%,L,42%
1378,5,looser,74,172,L,77%,M,56%
1379,5,tighter,90,183,L,93%,M,41%
1380,5,perfect,88,176,L,87%,XL,46%
1381,0,tighter,79,164,M,90%,S,45%
1382,7,looser,84,170,L,80%,XL,58%
1383,8,looser,81,169,L,90%,XL,41%
1384,4,perfect,79,173,M,66%,L,64%
1385,7,perfect,79,178,L,79%,M,59%
1386,9,tighter,92,179,L,93%,M,45%
1387,0,tighter,89,177,L,81%,M,53%
1388,5,perfect,79,173,M,68%,L,65%
1389,5,perfect,78,170,M,81%,L,52%
1390,6,perfect,79,173,M,71%,L,69%
1391,6,looser,81,171,L,91%,XL,48%
1392,2,perfect,99,188,XL,95%,L,42%
1393,8,looser,81,175,L,81%,XL,49%
1394,1,perfect,84,173,L,91%,M,47%
1395,1,looser,84,175,XL,69%,L,67%
1396,8,looser,74,164,M,73%,L,57%
1397,4,perfect,97,185,XL,92%,L,39%
1398,2,perfect,94,181,XL,84%,L,57%
1399,0,perfect,85,178,L,93%,XL,42%
1400,8,perfect,89,180,L,72%,XL,58%
1401,3,looser,84,176,XL,73%,L,68%
1402,5,perfect,70,162,M,83%,S,50%
1403,8,perfect,91,179,XL,67%,L,63%
1404,6,perfect,63,161,S,84%,M,56%
1405,3,perfect,93,181,XL,85%,L,55%
1407,4,perfect,76,169,M,90%,L,41%
1408,0,looser,85,180,XL,85%,L,50%
1409,3,perfect,89,186,XL,77%,L,64%
1410,9,perfect,90,173,L,85%,XL,55%
1411,6,perfect,96,186,XL,92%,L,47%
1412,4,perfect,77,177,M,68%,L,62%
1413,1,tighter,72,164,S,74%,M,64%
1414,4,perfect,94,182,XL,82%,L,48%
1415,2,tighter,73,171,M,83%,S,58%
1416,8,tighter,79,171,M,94%,S,37%
1417,2,tighter,89,176,L,82%,M,59%
1418,8,looser,80,168,L,92%,M,39%
1419,5,perfect,80,174,L,74%,M,59%
1420,1,perfect,81,179,L,89%,M,48%
1421,9,perfect,73,168,M,96%,L,37%
1422,1,looser,79,173,L,94%,XL,43%
1423,9,tighter,101,183,XL,80%,L,60%
1424,2,looser,87,170,XL,75%,L,65%
1425,4,tighter,73,171,M,80%,S,50%
1426,2,looser,85,174,XL,73%,L,67%
1427,2,tighter,83,174,M,89%,L,51%
1428,0,perfect,88,178,L,84%,XL,51%
1429,9,perfect,87,175,L,92%,XL,47%
1430,2,looser,89,176,XL,88%,L,52%
1431,6,looser,90,184,XL,94%,L,44%
1432,1,looser,80,171,L,93%,XL,44%
1433,3,perfect,90,175,L,82%,XL,59%
1434,0,perfect,83,177,L,92%,M,43%
1435,6,perfect,87,176,L,91%,XL,48%
1436,4,tighter,103,189,XL,87%,L,44%
1437,8,perfect,77,171,M,80%,L,49%
1438,8,looser,77,170,L,86%,M,45%
1439,3,tighter,91,184,L,95%,XL,44%
1440,4,perfect,91,173,L,78%,XL,52%
1441,7,looser,75,170,L,80%,M,58%
1442,6,tighter,88,188,L,94%,M,44%
1443,4,perfect,61,154,S,92%,M,39%
1444,0,perfect,90,176,L,78%,XL,56%
1445,6,perfect,87,172,L,95%,XL,44%
1446,4,tighter,87,177,FALSE,0%,FALSE,0%
1447,5,tighter,93,177,L,93%,M,40%
1448,3,tighter,74,163,S,71%,M,69%
1449,8,tighter,83,164,M,95%,L,37%
1450,9,perfect,88,176,L,88%,XL,52%
1451,2,looser,87,172,XL,78%,L,63%
1452,1,tighter,91,179,L,92%,M,46%
1453,5,perfect,93,188,XL,87%,L,46%
1454,3,tighter,89,182,L,90%,M,50%
1455,9,tighter,82,170,M,95%,L,44%
1456,7,looser,78,171,L,93%,M,44%
1457,5,tighter,67,158,S,91%,M,42%
1458,6,perfect,96,182,XL,89%,L,50%
1459,6,perfect,80,173,L,74%,M,65%
1460,5,perfect,91,176,L,72%,XL,61%
1462,8,looser,97,183,XXL,68%,XL,62%
1463,6,looser,96,184,XL,93%,L,38%
1464,1,looser,72,164,M,87%,L,51%
1465,9,looser,95,180,XL,83%,XXL,57%
1466,3,tighter,89,179,L,86%,M,54%
1467,7,looser,77,168,L,86%,M,52%
1468,3,perfect,91,179,XL,72%,L,69%
1469,4,looser,74,169,L,70%,M,61%
1470,3,looser,86,178,XL,87%,L,54%
1471,4,tighter,93,181,L,93%,XL,38%
1472,6,looser,89,178,XL,90%,L,50%
1474,2,looser,94,183,XL,96%,L,40%
1475,7,looser,79,174,L,93%,XL,44%
1476,9,perfect,88,177,L,87%,XL,53%
1477,6,looser,87,176,XL,82%,L,57%
1478,7,looser,80,174,L,91%,XL,47%
1479,4,looser,86,174,XL,73%,L,57%
1480,3,perfect,97,188,XL,95%,XXL,44%
1481,8,looser,97,183,XXL,68%,XL,62%
1482,9,perfect,85,173,L,93%,M,46%
1483,3,tighter,81,174,M,93%,L,46%
1484,9,looser,78,165,L,86%,M,54%
1485,4,perfect,97,191,XL,94%,L,37%
1486,1,looser,89,178,XL,89%,L,48%
1487,0,looser,99,186,XXL,82%,XL,52%
1488,2,tighter,94,186,L,86%,XL,55%
1489,2,tighter,77,165,M,87%,S,53%
1490,6,perfect,101,189,XL,96%,L,40%
1491,9,perfect,93,175,XL,74%,L,66%
1492,6,looser,86,177,XL,80%,L,60%
1493,0,looser,79,170,L,94%,M,41%
1494,6,perfect,96,187,XL,92%,L,46%
1495,4,tighter,81,179,M,86%,L,45%
1496,9,looser,94,184,XL,80%,XXL,60%
1497,7,tighter,85,176,M,77%,L,61%
1498,5,looser,91,177,XL,92%,L,42%
1499,2,tighter,83,169,M,94%,L,45%
1500,6,looser,89,174,XL,86%,L,54%
1501,7,tighter,76,172,M,92%,S,45%
1502,5,tighter,95,182,L,87%,XL,46%
1503,1,tighter,98,191,XL,78%,L,60%
1504,1,tighter,72,161,S,78%,M,60%
1505,5,perfect,83,175,L,90%,M,44%
1506,6,tighter,87,180,L,80%,M,59%
1510,9,tighter,82,172,M,93%,L,46%
1511,4,tighter,83,172,M,90%,L,41%
1512,3,perfect,89,179,L,79%,XL,62%
1513,4,looser,77,166,L,82%,M,49%
1514,3,tighter,98,187,XL,75%,L,66%
1515,7,tighter,88,182,L,87%,M,51%
1516,8,looser,66,157,M,83%,S,47%
1517,4,perfect,71,164,M,90%,S,41%
1518,0,perfect,63,159,S,85%,M,50%
1519,0,perfect,86,175,L,93%,XL,41%
1520,9,looser,91,177,XL,96%,XXL,42%
1521,5,looser,77,171,L,90%,M,43%
1522,8,looser,91,186,XL,86%,XXL,44%
1523,5,tighter,89,177,L,81%,M,52%
1524,7,perfect,101,180,XL,94%,L,42%
1525,9,looser,84,171,L,78%,XL,62%
1526,9,tighter,86,180,L,76%,M,64%
1527,9,tighter,93,178,L,94%,M,44%
1528,9,tighter,88,179,L,82%,M,58%
1529,6,looser,85,176,L,95%,M,40%
1530,2,looser,68,165,M,96%,L,43%
1531,1,looser,93,184,XL,96%,L,39%
1532,0,perfect,80,175,L,77%,M,58%
1533,3,tighter,78,169,M,93%,S,46%
1534,4,perfect,103,192,XL,90%,L,31%
1535,3,perfect,89,183,L,70%,XL,68%
1536,3,tighter,81,169,M,96%,L,42%
1537,3,perfect,72,161,M,90%,S,50%
1538,9,perfect,84,173,L,91%,M,49%
1539,2,looser,90,176,XL,90%,L,49%
1540,0,looser,91,184,XL,91%,XXL,43%
1541,8,tighter,93,187,L,83%,XL,47%
1542,3,tighter,73,167,M,74%,S,67%
1543,2,looser,72,169,M,78%,L,62%
1544,6,perfect,90,173,L,86%,XL,54%
1545,4,looser,95,186,XL,93%,L,32%
1546,2,tighter,66,160,S,92%,M,47%
1547,8,looser,86,172,XL,71%,L,59%
1548,6,looser,93,189,XL,95%,L,39%
1549,8,tighter,77,164,M,81%,S,49%
1550,3,looser,82,180,L,70%,XL,68%
1551,3,perfect,81,171,L,75%,M,65%
1552,7,tighter,76,171,M,91%,S,46%
1553,7,perfect,90,179,L,73%,XL,65%
1554,4,tighter,86,174,M,73%,L,57%
1555,8,looser,95,180,XL,78%,XXL,52%
1556,7,looser,83,170,L,85%,XL,53%
1557,3,tighter,79,179,M,93%,L,47%
1558,5,tighter,90,175,L,82%,M,52%
1559,9,perfect,91,186,XL,86%,L,54%
1560,9,looser,90,181,XL,96%,XXL,43%
1561,6,perfect,82,177,L,90%,M,49%
1562,2,tighter,94,189,L,80%,XL,61%
1563,2,tighter,75,172,M,91%,S,49%
1564,5,looser,84,182,XL,78%,L,55%
1565,1,looser,87,183,XL,89%,L,49%
1566,2,looser,78,172,L,94%,M,45%
1567,2,perfect,73,169,M,96%,L,42%
1568,0,tighter,81,178,M,88%,L,46%
1569,3,tighter,107,194,XL,91%,XXL,48%
1570,8,perfect,74,167,M,94%,L,37%
1571,4,looser,68,167,M,94%,L,37%
1572,1,looser,90,182,XL,93%,L,44%
1573,4,perfect,88,175,L,88%,XL,43%
1574,9,looser,97,186,XXL,77%,XL,63%
1575,1,tighter,87,175,M,70%,L,68%
1576,2,looser,91,182,XL,95%,L,44%
1578,6,tighter,57,154,S,88%,M,35%
1579,9,tighter,81,175,M,92%,L,47%
1580,9,looser,84,173,L,74%,XL,66%
1581,4,perfect,89,180,L,72%,XL,58%
1582,5,tighter,89,182,L,90%,M,44%
1583,1,tighter,84,177,M,80%,L,58%
1584,6,looser,92,182,L,67%,M,25%
1585,5,looser,87,180,XL,85%,L,48%
1586,5,perfect,92,183,XL,78%,L,55%
1587,8,perfect,78,168,M,82%,L,48%
1588,4,tighter,82,173,M,91%,L,40%
1589,3,looser,98,183,XXL,77%,XL,64%
1591,2,perfect,92,179,XL,75%,L,65%
1592,2,looser,85,182,XL,84%,L,57%
1593,4,tighter,96,181,L,84%,XL,46%
1594,3,tighter,78,167,M,92%,S,48%
1595,6,perfect,90,179,L,74%,XL,66%
1596,5,perfect,97,180,XL,88%,L,45%
1597,6,perfect,71,169,M,95%,S,43%
1598,8,tighter,75,165,M,74%,S,56%
1599,8,looser,82,177,L,72%,XL,58%
1600,5,perfect,95,182,XL,85%,L,48%
1602,3,looser,79,175,L,92%,XL,47%
1603,1,tighter,78,165,M,90%,S,48%
1604,6,tighter,81,184,M,79%,L,60%
1605,0,tighter,85,184,L,78%,M,57%
1606,3,tighter,80,169,M,96%,S,43%
1607,8,tighter,65,158,S,97%,M,35%
1608,0,tighter,73,172,M,82%,S,52%
1609,9,perfect,78,173,M,76%,L,64%
1610,7,looser,76,172,L,88%,M,49%
1611,8,perfect,115,194,XXL,94%,XL,36%
1613,8,tighter,75,171,M,85%,S,45%
1614,5,tighter,90,177,L,85%,M,48%
1615,6,perfect,76,166,M,94%,L,45%
1616,1,tighter,77,174,M,95%,S,42%
1618,6,tighter,83,175,M,91%,L,47%
1619,6,looser,95,189,XL,91%,L,36%
1621,2,perfect,75,173,M,89%,L,51%
1622,8,perfect,94,180,XL,83%,L,46%
1623,2,perfect,92,177,XL,72%,L,68%
